location,public_hours,winter_play,type,lights,courts,place,additional,latitude_old,longitude_old,coord_mannual,latitude,longitude
Agincourt ParkClub: Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,Sundays 2 p.m. - 4 p.m.Tuesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Holidays 2 p.m. - 4 p.m.,,Club,Yes,4,Agincourt Park, Agincourt Tennis ClubWebsite: http://www.agincourttennisclub.caMembership: Open,43.78824,-79.27507175,"43.78825261397674, -79.27397565880979",43.78825261,-79.27397566
Alamosa ParkClub: Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,Fridays 7 p.m. - 9 p.m.Saturdays 5 p.m. - 9 p.m.,,Club,No,3,Alamosa Park, Bridlebrook Tennis ClubWebsite: http://www.nyta.orgMembership: Open,43.78105955,-79.36951125,,43.78105955,-79.36951125
Albion Gardens Park,,,Public,Yes,3,Albion Gardens Park,,43.739727,-79.55980657,"43.73920976726979, -79.55909924835288",43.73920977,-79.55909925
Amesbury Park,,Yes,Public,No,2,Amesbury Park,,43.7061619,-79.48349185,"43.706904745950794, -79.48354389437841",43.70690475,-79.48354389
Ancaster Park,,,Public,No,3,Ancaster Park,,43.733449,-79.46564707,,43.733449,-79.46564707
Antibes Community Centre,,Yes,Public,No,1,Antibes Community Centre,,43.7811986,-79.4469847,,43.7811986,-79.4469847
Balmoral Park,,,Public,Yes,3,Balmoral Park,,43.74509415,-79.44994761,,43.74509415,-79.44994761
Banbury ParkClub: Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.,,Club,Yes,4,Banbury Park, Banbury Tennis ClubWebsite: http://www.banburytennisclub.netMembership: Open,43.7427961,-79.36995664,,43.7427961,-79.36995664
Baycrest Park,,Yes,Public,Yes,2,Baycrest Park,,43.7269042,-79.44575064,"43.72877089942279, -79.44402904728456",43.7287709,-79.44402905
Bayview Village Park,,,Public,No,3,Bayview Village Park,,43.7726738,-79.38855365,"43.77329024153516, -79.3888682201092",43.77329024,-79.38886822
Beaches ParkClub: Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,Sundays 4 p.m. - 10 p.m.,,Club,Yes,10,Beaches Park, Kew Gardens Tennis ClubWebsite: http://www.kewgardenstennis.caMembership: Open,43.6943139,-79.2888964,"43.666225, -79.300301",43.666225,-79.300301
Beaumonde Heights Park,,,Public,No,3,Beaumonde Heights Park,,43.74052125,-79.57275475,"43.73967330301776, -79.5729697445978",43.7396733,-79.57296974
Bellbury ParkClub: Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,5,Bellbury Park, Bellbury Tennis ClubWebsite: http://www.bellburytennisclub.comMembership: Open,43.78217075,-79.36014183,"43.78428654558846, -79.36094969414172",43.78428655,-79.36094969
Bennington Heights ParkClub: Bennington Heights Tennis ClubWebsite: http://www.benningtonheightstennis.orgMembership: Open,Sundays 8 p.m. - 11 p.m.Mondays 8 p.m. - 11 p.m.,,Club,Yes,2,Bennington Heights Park, Bennington Heights Tennis ClubWebsite: http://www.benningtonheightstennis.orgMembership: Open,43.695152,-79.36945306,"43.694952619150484, -79.37015072026605",43.69495262,-79.37015072
Bestview Park,,Yes,Public,Yes,3,Bestview Park,,43.8025701,-79.38327388,,43.8025701,-79.38327388
Birch Park,,Yes,Public,Yes,2,Birch Park,,43.59178375,-79.52772043,"43.59116218237696, -79.52660607503904",43.59116218,-79.52660608
Bloordale Park South,,,Public,No,2,Bloordale Park South,,43.63577415,-79.5682667,,43.63577415,-79.5682667
"Bond ParkClub: Nyta Winter Tennis Club,The Don Mills Tennis ClubWebsite: http://www.nywintertennisclub.com http://www.donmillstennisclub.comMembership: Open",Sundays 4 p.m. - 7 p.m.Saturdays 4 p.m. - 7 p.m.,,Club,Yes,6,Bond Park," Nyta Winter Tennis Club,The Don Mills Tennis ClubWebsite: http://www.nywintertennisclub.com http://www.donmillstennisclub.comMembership: Open",43.74729515,-79.35138228,"43.74657131020382, -79.35033217620503",43.74657131,-79.35033218
Botany Hill ParkClub: Botany Hill Park,,,Club,Yes,4,Botany Hill Park, Botany Hill Park,43.77906755,-79.21429691,"43.77795926005801, -79.21088684521236",43.77795926,-79.21088685
Bridlewood ParkClub: Bridlewood Tennis ClubWebsite: http://www.bridlewoodtennis.caMembership: Open,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.Holidays 12 p.m. - 2 p.m.,,Club,Yes,3,Bridlewood Park, Bridlewood Tennis ClubWebsite: http://www.bridlewoodtennis.caMembership: Open,43.784113,-79.31507389,"43.78319742840526, -79.31667435850689",43.78319743,-79.31667436
Broadlands ParkClub: O'Connor Hills Tennis ClubWebsite: http://www.oconnorhillstennis.comMembership: Open,Closed for construction,,Club,Yes,4,Broadlands Park, O'Connor Hills Tennis ClubWebsite: http://www.oconnorhillstennis.comMembership: Open,43.74593405,-79.32179069,,43.74593405,-79.32179069
Buttonwood Park,,,Public,Yes,3,Buttonwood Park,,43.6820701,-79.52063726,,43.6820701,-79.52063726
Cassandra ParkClub: Parkway Valley Tennis ClubWebsite: http://www.pvtc.caMembership: Open,Sundays 5 p.m. - 8 p.m.Saturdays 4 p.m. - 7 p.m.,,Club,Yes,4,Cassandra Park, Parkway Valley Tennis ClubWebsite: http://www.pvtc.caMembership: Open,43.7544761,-79.3142098,"43.754705523385866, -79.31871255138007",43.75470552,-79.31871255
Cedarvale Park,,,Public,Yes,4,Cedarvale Park,,43.69084435,-79.42543998,"43.6928418836284, -79.43206262473393",43.69284188,-79.43206263
Charlottetown ParkClub: Charlottetown Tennis ClubWebsite: http://www.charlottetowntennis.comMembership: Open,Mondays 4 p.m. - 6 p.m. except holidaysWednesdays 4 p.m. - 6 p.m.Saturdays 8 am - 10 amHolidays 10 a.m. - 12 p.m.,,Club,Yes,3,Charlottetown Park, Charlottetown Tennis ClubWebsite: http://www.charlottetowntennis.comMembership: Open,43.78115475,-79.14011833,,43.78115475,-79.14011833
Clairlea Park,,,Public,No,2,Clairlea Park,,43.71429395,-79.28727363,,43.71429395,-79.28727363
Cliffwood Park,,,Public,No,3,Cliffwood Park,,43.80846645,-79.35513309,,43.80846645,-79.35513309
Cloverdale Park,,Yes,Public,Yes,3,Cloverdale Park,,43.63390645,-79.54466354,,43.63390645,-79.54466354
Clydesdale ParkClub: Pleasantview Tennis ClubWebsite: http://www.pleasantviewtennis.comMembership: Open,Saturdays 1 p.m. - 4 p.m.Sundays 1 p.m. - 4 p.m.Holidays 2 p.m. - 4.p.m,,Club,Yes,4,Clydesdale Park, Pleasantview Tennis ClubWebsite: http://www.pleasantviewtennis.comMembership: Open,43.783215,-79.32944398,,43.783215,-79.32944398
Coleman Park,,,Public,No,2,Coleman Park,,43.68944605,-79.29994261,,43.68944605,-79.29994261
Confederation ParkClub: Centennial Tennis ClubMembership: Open,Mondays 4 p.m. - 6 p.m.Wednesdays 4 p.m. - 6 p.m.Saturdays 8 am - 10 amHolidays 4 p.m. - 6 p.m.,,Club,Yes,3,Confederation Park, Centennial Tennis ClubMembership: Open,43.77378245,-79.23618389,,43.77378245,-79.23618389
Cosburn Park,,,Public,Yes,5,Cosburn Park,,43.6932949,-79.33042198,,43.6932949,-79.33042198
Cresthaven ParkClub: Hillcrest Tennis ClubWebsite: http://www.hillcresttennisclub.caMembership: Open,Saturdays 12:30 p.m. - 3:30 p.m.Sundays 12:30 p.m. - 3:30 p.m.,,Club,Yes,4,Cresthaven Park, Hillcrest Tennis ClubWebsite: http://www.hillcresttennisclub.caMembership: Open,43.79922875,-79.36306329,,43.79922875,-79.36306329
Cummer Park,,Yes,Public,Yes,4,Cummer Park,,43.7990763,-79.37194588,"43.80004034579501, -79.3720271464981",43.80004035,-79.37202715
Dovercourt Park,,Yes,Public,No,2,Dovercourt Park,,43.66522275,-79.43353744,,43.66522275,-79.43353744
Dunlace ParkClub: Dunlace Tennis ClubWebsite: http://www.dunlacetennis.comMembership: Open,Fridays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,3,Dunlace Park, Dunlace Tennis ClubWebsite: http://www.dunlacetennis.comMembership: Open,43.76223145,-79.3688581,,43.76223145,-79.3688581
East Mall Park,,Yes,Public,Yes,3,East Mall Park,,43.6423285,-79.55727152,"43.64141872071724, -79.55715493371808",43.64141872,-79.55715493
Eglinton Flats,,Yes,Public,Yes,12,Eglinton Flats,,43.6832816,-79.49535918,,43.6832816,-79.49535918
Eglinton Park,,,Public,Yes,2,Eglinton Park,,43.707456,-79.40531507,"43.685068732219314, -79.4938677523855",43.68506873,-79.49386775
Elie Wiesel Park,,Yes,Public,Yes,3,Elie Wiesel Park,,43.74576315,-79.43817473,"43.74602656092494, -79.43712150934647",43.74602656,-79.43712151
Fairmount Park,,Yes,Public,No,4,Fairmount Park,,43.6759694,-79.31586481,"43.675353313389756, -79.31505993293028",43.67535331,-79.31505993
Fenside Park,,Yes,Public,Yes,4,Fenside Park,,43.7651945,-79.32743648,,43.7651945,-79.32743648
Flagstaff Park,,,Public,Yes,2,Flagstaff Park,,43.7211171,-79.59053722,,43.7211171,-79.59053722
Fountainhead ParkClub: Fountainhead Community Tennis ClubWebsite: http://www.nyta.org/fountainhead_new.htmlMembership: Open,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,Club,Yes,3,Fountainhead Park, Fountainhead Community Tennis ClubWebsite: http://www.nyta.org/fountainhead_new.htmlMembership: Open,43.76241495,-79.49685312,"43.761996876869304, -79.49951363471202",43.76199688,-79.49951363
Gihon Spring Park,,Yes,Public,Yes,2,Gihon Spring Park,,43.754803,-79.59466747,,43.754803,-79.59466747
Glen Park,,,Public,Yes,2,Glen Park,,43.7090016,-79.4437983,"43.65083697696558, -79.55345030050546",43.65083698,-79.5534503
Glendora Park,,Yes,Public,Yes,2,Glendora Park,,43.7617265,-79.39951131,"43.760973732126814, -79.39792621670829",43.76097373,-79.39792622
Goulding Park,,Yes,Public,No,3,Goulding Park,,43.7907862,-79.42233222,,43.7907862,-79.42233222
Grandravine Park,,,Public,No,3,Grandravine Park,,43.7477162,-79.5124968,"43.75241140766193, -79.49155540137252",43.75241141,-79.4915554
Graydon Hall Park,,,Public,Yes,3,Graydon Hall Park,,43.7628628,-79.34266658,,43.7628628,-79.34266658
Gwendolen ParkClub: Gwendolen Tennis ClubWebsite: http://www.gwendolentennis.comMembership: Open,Fridays 5 p.m. - 7 p.m.Fridays 8 p.m. - 10 p.m.Sundays 9 p.m. - 11 p.m.,,Club,Yes,3,Gwendolen Club, Gwendolen Tennis ClubWebsite: http://www.gwendolentennis.comMembership: Open,43.7513591,-79.41985789,"43.75106531884314, -79.42000625050758",43.75106532,-79.42000625
Gwendolen Park,,,Public,Yes,1,Gwendolen Park,,43.7513591,-79.41985789,"43.75121348307186, -79.42054924171153",43.75121348,-79.42054924
Havenbrook ParkClub: Henry Farm Tennis ClubWebsite: http://www.henryfarmtennisclub.caMembership: Open,Sundays 1 p.m. - 4 p.m.Saturdays 1 p.m. - 4 p.m.,,Club,Yes,4,Havenbrook Park, Henry Farm Tennis ClubWebsite: http://www.henryfarmtennisclub.caMembership: Open,43.76756505,-79.35562921,"43.76757872158672, -79.35814725236843",43.76757872,-79.35814725
Hawksbury ParkClub: Bayview Village Tennis ClubWebsite: http://www.bayviewvillagetennis.com,Saturdays 4 p.m. - 7 p.m.Sundays 4 p.m. - 7 p.m.,,Club,Yes,6,Hawksbury Park, Bayview Village Tennis ClubWebsite: http://www.bayviewvillagetennis.com,43.7707004,-79.38302186,,43.7707004,-79.38302186
Hendon Park,,,Public,Yes,4,Hendon Park,,43.78146365,-79.42053786,"43.781087677656224, -79.42193371065822",43.78108768,-79.42193371
Heron ParkClub: Heron Park Tennis ClubWebsite: http://www.heronparktennis.comMembership: Open,Sundays 8 p.m. - 11 p.m.Saturdays 8 p.m. - 11 p.m.Holidays 9 p.m. - 11 p.m.,,Club,Yes,5,Heron Park, Heron Park Tennis ClubWebsite: http://www.heronparktennis.comMembership: Open,43.7679272,-79.17666608,"43.768805324116975, -79.17820348686936",43.76880532,-79.17820349
High ParkClub: Howard Park Tennis ClubWebsite: http://www.howardparktennis.comMembership: Waitlist,Fridays 9am - 11amSundays 9am - 11amHolidays 9am - 11amHolidays 9am - 11am,Yes,Club,Yes,7,Howard Park, Howard Park Tennis ClubWebsite: http://www.howardparktennis.comMembership: Waitlist,43.6538668,-79.4668644,"43.65088127016624, -79.45919203263277",43.65088127,-79.45919203
High Park,,Yes,Public,Yes,7,High Park,,43.6538668,-79.4668644,"43.65066744379109, -79.46426481143536",43.65066744,-79.46426481
Hillcrest ParkClub: Wychwood Tennis ClubWebsite: http://www.wychwoodtennis.caMembership: Waitlist,Saturdays 7 p.m. - 11 p.m.Sundays 6 p.m. - 11 p.m.,Yes,Club,Yes,4,Hillcrest Park, Wychwood Tennis ClubWebsite: http://www.wychwoodtennis.caMembership: Waitlist,43.67596995,-79.4245029,,43.67596995,-79.4245029
Howard Talbot Park,,,Public,No,2,Howard Talbot Park,,43.7106689,-79.37355437,"43.710478060173095, -79.37224022003777",43.71047806,-79.37224022
Humber Valley Park,,,Public,Yes,4,Humber Valley Park,,43.6645343,-79.52609644,"43.664527565109196, -79.52462970083238",43.66452757,-79.5246297
Indian Line Park,,,Public,Yes,2,Indian Line Park,,43.72489565,-79.62243383,,43.72489565,-79.62243383
Iroquois ParkClub: Iroquois Tennis ClubWebsite: http://www.iroquoistennisclub.caMembership: Open,Mondays 4 p.m. - 6 p.m.Sundays 5 p.m. - 7 p.m.Saturdays 5 p.m. - 7 p.m.Holidays 5 p.m. - 7 p.m.,,Club,No,3,Iroquois Park, Iroquois Tennis ClubWebsite: http://www.iroquoistennisclub.caMembership: Open,43.80244695,-79.26540985,"43.80361665549741, -79.26826343661658",43.80361666,-79.26826344
Irving W. Chapley Park,,Yes,Public,Yes,2,Irving W. Chapley Park,,43.76187525,-79.45523136,"43.76254115471548, -79.45635380400238",43.76254115,-79.4563538
Jeff Healey Park,,Yes,Public,Yes,2,Jeff Healey Park,,43.63033205,-79.49503161,,43.63033205,-79.49503161
Jimmie Simpson Park,,Yes,Public,No,2,Jimmie Simpson Park,,43.6616466,-79.34474197,"43.6610814139035, -79.34439986283608",43.66108141,-79.34439986
June Rowlands ParkClub: Davisville Tennis ClubWebsite: http://www.davisvilletennisclub.comMembership: Waitlist,"Saturdays 9 p.m. - 11 p.m.Sundays Courts 1-6, 6 p.m. - 11 p.m.",,Club,Yes,6,June Rowlands Park, Davisville Tennis ClubWebsite: http://www.davisvilletennisclub.comMembership: Waitlist,43.7007079,-79.38855064,,43.7007079,-79.38855064
Kingsview Park,,,Public,No,2,Kingsview Park,,43.6991188,-79.55433646,,43.6991188,-79.55433646
Kirkwood Park,,Yes,Public,Yes,4,Kirkwood Park,,43.75579435,-79.3616088,,43.75579435,-79.3616088
Laburnham Park,,Yes,Public,Yes,2,Laburnham Park,,43.60014975,-79.52804734,"43.60089733712945, -79.52670287486801",43.60089734,-79.52670287
Lakeshore Boulevard Parklands,,Yes,Public,No,4,Lakeshore Boulevard Parklands,,43.63494605,-79.44087169,"43.6335901800556, -79.43822752547858",43.63359018,-79.43822753
Lambton - Kingsway Park,,,Public,No,2,Lambton - Kingsway Park,,43.65776985,-79.50800926,,43.65776985,-79.50800926
Leaside ParkClub: Thorncliffe Park Tennis ClubWebsite: http://www.tptc.caMembership: Open,Sundays 5 p.m. - 11 p.m.,,Club,Yes,6,Leaside Park, Thorncliffe Park Tennis ClubWebsite: http://www.tptc.caMembership: Open,43.70242145,-79.35024076,"43.70309580963958, -79.34915312815308",43.70309581,-79.34915313
Lillian ParkClub: Newtonbrook Tennis ClubWebsite: http://www.newtonbrooktennis.comMembership: Open,Saturdays 12 p.m. - 3 p.m.Sundays 12 p.m. - 3 p.m.,,Club,Yes,3,Lillian Park, Newtonbrook Tennis ClubWebsite: http://www.newtonbrooktennis.comMembership: Open,43.7056529,-79.39410432,"43.79765491766639, -79.40798782437749",43.79765492,-79.40798782
Lora Hill Park,,Yes,Club,Yes,2,Lora Hill Park,,43.638462,-79.5148944,,43.638462,-79.5148944
Lytton ParkClub: Lytton ParkWebsite: http://www.lyttonparktennis.com,,,Club,Yes,3,Lytton Park, Lytton ParkWebsite: http://www.lyttonparktennis.com,43.7159986,-79.412291,"43.715410318553964, -79.41114758798273",43.71541032,-79.41114759
Malvern Park,,Yes,Public,Yes,3,Malvern Park,,43.8081062,-79.2158192,"43.80892314958903, -79.21773273298865",43.80892315,-79.21773273
Manchester Park,,Yes,Public,Yes,3,Manchester Park,,43.61974365,-79.4896369,"43.62086343193839, -79.49017296738015",43.62086343,-79.49017297
Maple Leaf Park,,Yes,Public,Yes,3,Maple Leaf Park,,43.7158241,-79.49341621,"43.71628153713815, -79.49387584232285",43.71628154,-79.49387584
Maryland ParkClub: Dentonia Park Tennis ClubWebsite: https://www.dentoniatennis.comMembership: Open,"Sundays Courts 1-4, 4:30 p.m. - 10:30 p.m.",Yes,Club,Yes,4,Maryland Park, Dentonia Park Tennis ClubWebsite: https://www.dentoniatennis.comMembership: Open,43.6916584,-79.29512732,,43.6916584,-79.29512732
McDairmid Woods Park,,Yes,Public,Yes,3,McDairmid Woods Park,,43.779841,-79.26708134,"43.780666387148166, -79.2664319434825",43.78066639,-79.26643194
McGregor Park,,Yes,Public,No,3,McGregor Park,,43.7478607,-79.2810908,"43.746964290334624, -79.28102448898733",43.74696429,-79.28102449
Mcnicoll Park,,,Public,Yes,3,Mcnicoll Park,,43.7989846,-79.35273651,"43.798085145569544, -79.3538559381612",43.79808515,-79.35385594
Mill Valley Park,,,Public,No,2,Mill Valley Park,,43.643463,-79.58792405,,43.643463,-79.58792405
Millwood Park,,,Public,Yes,3,Millwood Park,,43.6313033,-79.57838452,,43.6313033,-79.57838452
Mimico Memorial ParkClub: Mimico Tennis ClubWebsite: http://www.mimicotennisclub.orgMembership: Open,,,Club,Yes,3,Mimico Memorial Park, Mimico Tennis ClubWebsite: http://www.mimicotennisclub.orgMembership: Open,43.60997035,-79.49368074,"43.60926606964264, -79.49367826292807",43.60926607,-79.49367826
Moore Park - North York,,,Public,No,3,Moore Park,,43.793205,-79.4219648,"43.79174914877868, -79.43435463134966",43.79174915,-79.43435463
